sourceSystem,sourceDirectory,sourceId,slug,name,typeLabel,excerpt,description,location,locationLabel,country,specialties,languages,formats,verified,listingStatus,reviewCount,rating,website,email,phone,organizationName,rawRole,rawOrganization,sourceLocation,city,stateProvince,postcode,sourceUrl,scrapedAt
apda-community,APDA Community,www.apdaparkinson.org/community/alabama/,alabama-information-and-referral-center-at-university-of-alabama-at-birmingham-state-resource-page,Information and Referral Center at University of Alabama at Birmingham,Referral Center,Imported from APDA Alabama community resources.,"Welcome to the APDA Alabama Resource Page Stay Active with APDA Care Partner Resources Support Groups APDA Resources in Alabama The APDA works tirelessly every day to support and empower those in our community who are impacted by Parkinson disease (PD). We promote hope and optimism through innovative services, programs, education, and support while also funding vital research. We are here to help you and your loved ones every step of the way. The University of Alabama at Birmingham School of Medicine is one of eight Udall Centers for Advanced Parkinson Disease Research and hosts the Information and Referral Center for the state of Alabama and surrounding regions. Information and Referral Center at University of Alabama at Birmingham The Parkinson Disease Information and Referral Center, located at University of Alabama at Birmingham Department of Neurology was established by the American Parkinson Disease Association in 1978. This center serves as a resource for those with Parkinson’s disease and their loved ones as well as healthcare providers. Patients, caregivers, healthcare providers and the greater community can receive support regardless of their affiliation with the University of Alabama at Birmingham School of Medicine.","Alabama, United States","Alabama, United States",United States,Welcome to the APDA Alabama Resource Page | Stay Active with APDA | APDA Resources in Alabama | Information and Referral Center at University of Alabama at Birmingham | Services provided by the Alabama APDA Information and Referral Center include: | APDA Center for Advanced Research | Meet Your Alabama APDA Team | Location | Mailing Address | Help our community,,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/alabama-irc/,apdaal@uabmc.edu,,APDA Alabama,state-resource-page,American Parkinson Disease Association,"Alabama, United States",,Alabama,,https://www.apdaparkinson.org/community/alabama/,2026-03-28T05:36:55.012Z
apda-community,APDA Community,www.apdaparkinson.org/community/arizona/,arizona-find-resources-and-support-groups-support-groups,Find Resources & Support Groups,Referral Center,Dance for PD Wednesdays @ 9am MT Virtual Events Resources for Care Partners,"Welcome to the APDA Arizona Resource Page Dance for PD Wednesdays @ 9am MT Virtual Events Resources for Care Partners APDA Resources in Arizona The APDA works tirelessly every day to support and empower those in our community who are impacted by Parkinson’s disease (PD). We promote hope and optimism through innovative services, programs, education, and support, while also funding vital research. We are here to help you and your loved ones every step of the way. Contact APDA Arizona Laura Esquer, MSArizona Program DirectorPhone: 928-200-1192 P.O. Box 5447 Yuma, AZ 85366Email: lesquer@apdaparkinson.orgMayra GomezArizona Manager, Programs and Community EngagementPhone: 928-750-6281Email: mgomez@apdaparkinson.org Find Resources & Support Groups We provide local resources and support to the Parkinson’s community. Find a support group, join an art or movement class, get physical or occupational therapy, or take part in clinical trials. Discover all the resources that may be available to you brought to you by your local team at APDA.","Arizona, United States","Arizona, United States",United States,"Welcome to the APDA Arizona Resource Page | APDA Resources in Arizona | Contact APDA Arizona | Find Resources & Support Groups | Free Online Movement Classes: | Parkinson’s POP-UP Event: | Move Well, Live Well | Parkinson’s Today and Tomorrow | Connecting Through Art | Care Partners Group",,hybrid,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/arizona/,lesquer@apdaparkinson.org,800-223-2732,APDA Arizona,support-groups,American Parkinson Disease Association,"Arizona, United States",,Arizona,,https://www.apdaparkinson.org/community/arizona/,2026-03-28T05:36:55.013Z
apda-community,APDA Community,www.apdaparkinson.org/community/california/,california-information-and-referral-center-at-pacific-movement-disorders-center-state-resource-page,Information & Referral Center at Pacific Movement Disorders Center,Referral Center,Imported from APDA California community resources.,"Welcome to the APDA California Resource Page Stay Connected with Virtual Events Download the Symptom Tracker App APDA Resources in California The APDA works tirelessly every day to support and empower those in our community who are impacted by Parkinson’s disease (PD). We promote hope and optimism through innovative services, programs, education, and support, while also funding vital research. We are here to help you and your loved ones every step of the way.","California, United States","California, United States",United States,Welcome to the APDA California Resource Page | Stay Connected with Virtual Events | Download the Symptom Tracker App | APDA Resources in California | Services we provide: | APDA Care Partner Connection | Information & Referral Center at Pacific Movement Disorders Center | Chapter Menu | Contact | Information & Referral Center at Stanford University,,virtual,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/california/,sheila.moore2@providence.org,310-582-7641,APDA California,state-resource-page,American Parkinson Disease Association,"California, United States",,California,,https://www.apdaparkinson.org/community/california/,2026-03-28T05:36:55.013Z
apda-community,APDA Community,www.apdaparkinson.org/community/connecticut/,connecticut-find-resources-and-support-groups-support-groups,Find Resources & Support Groups,Referral Center,Click Here to Register & Donate Register Today! APDA Connecticut Resources & Support,"Welcome to the APDA Connecticut Chapter Click Here to Register & Donate Register Today! APDA Connecticut Resources & Support About the APDA Connecticut Chapter The APDA Connecticut Chapter works tirelessly every day to support and empower those in our community who are impacted by Parkinson’s disease (PD). We promote hope and optimism through innovative services, programs, education, and support, while also funding vital research. We are here to help you and your loved ones every step of the way. Services we provide: Resources, Support Groups Exercise classes and More Upcoming Programs and Events Parkinson’s Educational programs Newly Diagnosed Resources APDA CT Community Grant Program Clinical Trials happening locally APDA Signature Program- Care Partner Support APDA Signature Program- PRESS APDA Signature program- PRESS ON APDA Signature program- Connecting through Art Chapter Menu About APDA ConnecticutContact UsConnecticut Chapter Staff and Board of Directors Contact Us Connecticut Chapter Staff and Board of Directors Give to APDA Connecticut ChapterDonateBecome a SponsorBecome a Volunteer!Donate Monthly Donate Become a Sponsor Become a Volunteer! Donate Monthly Resources & SupportSupport GroupsExercise Classes in ConnecticutAt-Home ActivitiesDANCE FOR PD®Clinical Studies in ConnecticutAdd me to the APDA Connecticut Chapter Mailing ListPRESS ONCare Partner Support Programs & ResourcesCommunity Grant Program Support Groups Exercise Classes in Connecticut At-Home Activities DANCE FOR PD® Clinical Studies in Connecticut Add me to the APDA Connecticut Chapter Mailing List PRESS ON Care Partner Support Programs & Resources Community Grant Program Upcoming Events & ProgramsConnecticut Past Programs and Events Connecticut Past Programs and Events Parkinson’s Education Programs","Connecticut, United States","Connecticut, United States",United States,Welcome to the APDA Connecticut Chapter | About the APDA Connecticut Chapter | Services we provide: | Chapter Menu | Find Resources & Support Groups | Volunteers Needed | Stay Connected | Contact Information | APDA Connecticut Chapter Mailing Address | Help Our Community,,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/connecticut/,kcassesse@apdaparkinson.org,860-874-0465,APDA Connecticut,support-groups,American Parkinson Disease Association,"Connecticut, United States",,Connecticut,,https://www.apdaparkinson.org/community/connecticut/,2026-03-28T05:36:55.014Z
apda-community,APDA Community,www.apdaparkinson.org/community/florida/,florida-apda-information-and-referral-center-university-of-miami-events,"APDA Information & Referral Center, University of Miami",Referral Center,Register Newly Diagnosed? Explore Resources & Support Support Groups,"Welcome to the APDA Florida Chapter Register Newly Diagnosed? Explore Resources & Support Support Groups About the APDA Florida Chapter The APDA Florida Chapter works tirelessly every day to support and empower those in our community who are impacted by Parkinson’s disease (PD). We promote hope and optimism through innovative services, programs, education, and support, while also funding vital research. We are here to help you and your loved ones every step of the way. Services we provide: Educational programs and resources Support groups Exercise and wellness information Information and referrals and much more Don’t miss out on our Upcoming Events! STAY CONNECTED","Florida, United States","Florida, United States",United States,"Welcome to the APDA Florida Chapter | About the APDA Florida Chapter | Don’t miss out on our Upcoming Events! | STAY CONNECTED | Join our email list to stay up to date on news, events, and resources near you. | Chapter Menu | Volunteer TODAY! | Attend a Virtual Program or Event | APDA Florida Contact Information | APDA Information & Referral Center, University of Miami",,virtual,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/florida/,tlarsen@apdaparkinson.org,,APDA Florida,events,American Parkinson Disease Association,"Florida, United States",,Florida,,https://www.apdaparkinson.org/community/florida/,2026-03-28T05:36:55.014Z
apda-community,APDA Community,www.apdaparkinson.org/community/georgia/,georgia-apda-information-and-referral-center-at-morehouse-school-of-medicine-grady-hospital-support-groups,APDA Information & Referral Center at Morehouse School of Medicine/Grady Hospital,Referral Center,Walk With Us! Navigating Parkinson’s Newly Diagnosed,"Welcome to the APDA Georgia Chapter Walk With Us! Navigating Parkinson’s Newly Diagnosed About the APDA Georgia Chapter The APDA Georgia Chapter works tirelessly every day to support and empower those in our community who are impacted by Parkinson’s disease (PD). We promote hope and optimism through innovative services, programs, education, and support, while also funding vital research. We are here to help you and your loved ones every step of the way. Services we provide: Educational programs and resources Support groups Exercise and wellness classes Information and referrals and much more Find Resources & Support Groups We provide local resources and support to the Parkinson’s community. Find a support group, join an art or movement class, get physical or occupational therapy, or take part in clinical trials. Discover all the resources that may be available to you brought to you by your local team at APDA.","Georgia, United States","Georgia, United States",United States,"Welcome to the APDA Georgia Chapter | About the APDA Georgia Chapter | Services we provide: | Find Resources & Support Groups | STAY CONNECTED | Join our email list to stay up to date on news, events, and resources near you. | Chapter Menu | APDA Georgia Contact Information | APDA Information & Referral Center at Morehouse School of Medicine/Grady Hospital | Help Our Community",,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/georgia/,ajohnston@apdaparkinson.org,,APDA Georgia,support-groups,American Parkinson Disease Association,"Georgia, United States",,Georgia,,https://www.apdaparkinson.org/community/georgia/,2026-03-28T05:36:55.014Z
apda-community,APDA Community,www.apdaparkinson.org/community/illinois/,illinois-information-and-referral-center-referral-center-page,Information & Referral Center,Referral Center,Imported from APDA Illinois community resources.,"Welcome to the APDA Illinois Chapter Join us for Connecting Through Art! ChicagolandOptimism Walk Saturday, June 20th – Sign Up Today!","Illinois, United States","Illinois, United States",United States,"Welcome to the APDA Illinois Chapter | Join us for Connecting Through Art! | ChicagolandOptimism Walk | Saturday, June 20th – Sign Up Today! | APDA Strictly Social Monthly Meet UpSign Up Today! | About the APDA Illinois Chapter | Services we provide: | Contact Information | Information & Referral Center | Help Our Community",,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/illinois/,nicole.reidy@uchospitals.edu,(773) 834-1688,APDA Illinois,referral-center-page,American Parkinson Disease Association,"Illinois, United States",,Illinois,,https://www.apdaparkinson.org/community/illinois/,2026-03-28T05:36:55.014Z
apda-community,APDA Community,www.apdaparkinson.org/community/iowa/,iowa-starting-soon-press-8-week-programs-for-newly-diagnosedget-more-info-resource-page,Starting Soon!PRESS 8-Week Programs for Newly DiagnosedGet More Info!,Referral Center,Imported from APDA Iowa community resources.,"Welcome to the APDA Iowa Chapter Living Well with PDWaterloo, IAJoin us April 9th! Wednesday May 20thSign Up Today! Starting Soon!PRESS 8-Week Programs for Newly DiagnosedGet More Info!","Iowa, United States","Iowa, United States",United States,"Welcome to the APDA Iowa Chapter | Living Well with PDWaterloo, IAJoin us April 9th! | Wednesday May 20thSign Up Today! | Starting Soon!PRESS 8-Week Programs for Newly DiagnosedGet More Info! | About the APDA Iowa Chapter | Our 2025 Impact Report highlights the meaningful progress made through education, and support over the past year. See how your involvement helped make a difference for people living with Parkinson’s disease. Click here to view the 2025 Impact Report | Services we provide: | Iowa Chapter | Help our community | Chapter Menu",,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/iowa/,,,APDA Iowa,resource-page,American Parkinson Disease Association,"Iowa, United States",,Iowa,,https://www.apdaparkinson.org/community/iowa/,2026-03-28T05:36:55.014Z
apda-community,APDA Community,www.apdaparkinson.org/community/maryland/,maryland-upcoming-apda-virtual-events-support-groups,Upcoming APDA Virtual Events,Referral Center,Imported from APDA Maryland community resources.,"Welcome to the APDA Maryland Resource Page Upcoming APDA Virtual Events Resources for Care Partners APDA Resources in Maryland The APDA works tirelessly every day to support and empower those in our community who are impacted by Parkinson’s disease (PD). We promote hope and optimism through innovative services, programs, education, and support, while also funding vital research. We are here to help you and your loved ones every step of the way.","Maryland, United States","Maryland, United States",United States,Welcome to the APDA Maryland Resource Page | Upcoming APDA Virtual Events | Resources for Care Partners | APDA Resources in Maryland | Services we provide: | Find Resources & Support Groups | Help Our Community | Contact Information | Information and Referral | Parkinson's Care,,hybrid,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/maryland/,apda@apdaparkinson.org,1-800-223-2732,APDA Maryland,support-groups,American Parkinson Disease Association,"Maryland, United States",,Maryland,,https://www.apdaparkinson.org/community/maryland/,2026-03-28T05:36:55.014Z
apda-community,APDA Community,www.apdaparkinson.org/community/massachusetts/,massachusetts-apda-information-and-referral-center-at-boston-university-medical-campus-bumc-support-groups,APDA Information & Referral Center at Boston University Medical Campus (BUMC),Referral Center,Register now for the 40th Annual Massachusetts Optimism Walk for Parkinson’s!,"Welcome to the APDA Massachusetts Chapter Register now for the 40th Annual Massachusetts Optimism Walk for Parkinson’s! Click Here to Find a Support Group Click Here to Make a Donation About the APDA Massachusetts Chapter The APDA Massachusetts Chapter works tirelessly every day to support and empower those in our community who are impacted by Parkinson’s disease (PD). We promote hope and optimism through innovative services, programs, education, and support, while also funding vital research. We are here to help you and your loved ones every step of the way.","Massachusetts, United States","Massachusetts, United States",United States,Welcome to the APDA Massachusetts Chapter | Click Here to Find a Support Group | Click Here to Make a Donation | About the APDA Massachusetts Chapter | Services we provide: | Building Community | Find Resources & Support Groups | APDA Massachusetts Contact Information | APDA Information & Referral Center at Boston University Medical Campus (BUMC) | APDA Massachusetts ChapterMailing Address,,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/massachusetts/,apdama@apdaparkinson.org,,APDA Massachusetts,support-groups,American Parkinson Disease Association,"Massachusetts, United States",,Massachusetts,,https://www.apdaparkinson.org/community/massachusetts/,2026-03-28T05:36:55.014Z
