Title,URL,Description,Category,Tags
"Parkinson's Resources & Guides | Symptoms, Treatment, Exercise & Support","https://dolifetoday.com/resources","Explore practical Parkinson's resources including symptom guides, medication insights, exercise strategies, mental health support, and caregiving advice from Doing Life Today.","Resource Library","resources, guides, parkinsons, directory"
"Living With Parkinson's Guide | Symptoms, Treatment, Support & Daily Life","https://dolifetoday.com/community","A practical guide to living with Parkinson's disease, including symptoms, medication, exercise, mental health, community support, and real-life resources from Doing Life Today.","General Guide","living with parkinsons, guide, daily life, support"
"What No One Tells You After a Parkinson's Diagnosis | Doing Life Today","https://dolifetoday.com/what-no-one-tells-you-after-parkinsons-diagnosis","A real, honest look at what happens after a Parkinson's diagnosis - the emotional, physical, and mental challenges no one prepares you for, and how to start taking back control.","Newly Diagnosed","diagnosis, newly diagnosed, emotional health, first steps"
"Living with Parkinson's: A Practical Guide for Daily Life | Doing Life Today","https://dolifetoday.com/living-with-parkinsons","Learn practical strategies for living with Parkinson's disease, including daily routines, exercise, emotional support, and community resources.","General Guide","living with parkinsons, daily life, routines, support"
"Early Signs of Parkinson's Disease: Symptoms People Often Notice First | Doing Life Today","https://dolifetoday.com/early-signs-of-parkinsons","Learn about the early signs of Parkinson's disease, including tremor, stiffness, changes in walking, and other symptoms people often notice before diagnosis.","Newly Diagnosed","early signs, symptoms, diagnosis, awareness"
"Exercise and Parkinson's Disease: Why Movement Matters | Doing Life Today","https://dolifetoday.com/parkinsons-exercise","Learn why exercise is important for people living with Parkinson's disease, including tips for staying active, improving mobility, and supporting overall well-being.","Exercise","exercise, movement, fitness, parkinsons"
"Best Parkinson's Community & Online Support Groups (Free)","https://dolifetoday.com/parkinsons-community","Join a free Parkinson's community with online support groups, daily check-ins, and real connection for patients and care partners.","Community","parkinsons community, online support groups, free community, caregiver support"
"Parkinson's Support Groups Online (Free & Active)","https://dolifetoday.com/parkinsons-support-group-online","Explore free Parkinson's support groups online and see why active, ongoing support feels different from a once-a-month meeting.","Community","parkinsons support group online, support groups, active support, online community"
"Free Parkinson's Community for Patients and Caregivers","https://dolifetoday.com/free-parkinsons-community","A free Parkinson's community for patients and caregivers, built around real support, connection, and practical help.","Community","free parkinsons community, patients, caregivers, support"
"Parkinson's Help and Support for Patients and Caregivers","https://dolifetoday.com/parkinsons-help-and-support","Real Parkinson's help and support for patients and caregivers, with practical guidance, emotional support, and a path into community.","Community","parkinsons help and support, caregiver support, practical help, emotional support"
"Best Podcasts About Parkinson's Disease | Doing Life Today","https://dolifetoday.com/parkinsons-podcasts","Discover some of the best podcasts about Parkinson's disease, including Living with Parkinson's and Life in Motion, featuring real conversations, education, and support.","Podcasts","podcasts, audio, parkinsons, education"
"Newly Diagnosed with Parkinson's | Doing Life Today Guide","https://dolifetoday.com/newly-diagnosed","A practical guide for people newly diagnosed with Parkinson's. Learn what to expect, treatment basics, common symptoms, and how to move forward with confidence.","Newly Diagnosed","new diagnosis, first steps, support, guidance"
"Your First 90 Days: A Complete Guide for the Newly Diagnosed | Doing Life Today","https://dolifetoday.com/first-90-days-parkinsons","Everything you need to know, do, and ask in the first three months after your Parkinson's diagnosis. A roadmap when everything feels overwhelming.","Newly Diagnosed","first 90 days, diagnosis, planning, support"
"Sleep and Parkinson's: Why It Happens and What Helps | Doing Life Today","https://dolifetoday.com/parkinsons-sleep","Up to 80% of people living with Parkinson's experience sleep problems. Learn why Parkinson's disrupts sleep and what strategies may help you rest better.","Sleep","sleep, fatigue, rest, parkinsons"
"Medication Timing Mistakes to Avoid With Parkinson's | Doing Life Today","https://dolifetoday.com/parkinsons-medication-timing","Medication timing can make a major difference in Parkinson's symptoms. Learn common timing mistakes and how to better understand your medication schedule.","Medication","medication timing, levodopa, treatment, symptom control"
"The Mental Health Crisis in Parkinson's: What We're Not Talking About | Doing Life Today","https://dolifetoday.com/mental-health-parkinsons","Depression affects up to 50% of people with Parkinson's. Anxiety is even more common. Yet they're rarely discussed. Here's why that needs to change.","Mental Health","mental health, anxiety, depression, parkinsons"
"Parkinson's Tremor | What It Feels Like and What Helps","https://dolifetoday.com/parkinsons-tremor","Learn what Parkinson's tremor feels like, why it changes, what makes it worse, and what treatments and daily strategies may help.","Symptoms","tremor, symptoms, movement, parkinsons"
"Constipation and Parkinson's | Why It Happens and What Can Help","https://dolifetoday.com/parkinsons-constipation","Learn why constipation is common in Parkinson's, what daily strategies may help, when to review medications, and when to call your doctor.","Symptoms","constipation, digestion, non-motor symptoms, gut health"
"Parkinson's Diet and Nutrition | What to Eat and What Matters Most","https://dolifetoday.com/parkinsons-diet-nutrition","Learn practical Parkinson's diet and nutrition strategies including hydration, fiber, protein timing, bone and muscle support, and when to review supplements.","Nutrition","nutrition, diet, gut health, parkinsons"
"The 5 Best Exercises for Parkinson's, Ranked by Evidence | Doing Life Today","https://dolifetoday.com/best-exercises-for-parkinsons","Discover the best exercises for Parkinson's based on current evidence, including aerobic training, strength work, balance practice, amplitude exercises, and dual-task movement.","Exercise","best exercises, evidence-based, movement, fitness"
"Freezing of Gait in Parkinson's | Why It Happens and What Helps","https://dolifetoday.com/freezing-of-gait","Learn what freezing of gait in Parkinson's looks like, common triggers, cueing strategies, fall prevention tips, and when to seek therapy support.","Symptoms","freezing of gait, walking, balance, movement"
"Dyskinesia in Parkinson's | What It Is and What May Help","https://dolifetoday.com/dyskinesia","Learn what dyskinesia in Parkinson's is, how it differs from tremor, why medication timing matters, and what treatment discussions may help.","Medication","dyskinesia, movement fluctuations, medication, levodopa"
"Hallucinations and Delusions in Parkinson's | What Families Should Know","https://dolifetoday.com/hallucinations-delusions","Learn why hallucinations and delusions can happen in Parkinson's, how to respond calmly, and when changes in medication or urgent care may be needed.","Symptoms","hallucinations, delusions, cognition, care partners"
"Voice Changes in Parkinson's | LSVT LOUD and Beyond","https://dolifetoday.com/voice-changes","Learn why Parkinson's affects voice, speech, and communication, and what to know about LSVT LOUD, speech therapy, and daily strategies that can help.","Symptoms","voice changes, speech therapy, LSVT LOUD, communication"
"DBS Surgery for Parkinson's | What to Expect and What Nobody Tells You","https://dolifetoday.com/dbs-surgery","Learn what deep brain stimulation surgery is, who it may help, how evaluation works, what recovery feels like, and the questions to ask before deciding.","Medication","DBS, deep brain stimulation, surgery, treatment"
"Clinical Trials for Parkinson's | How to Find Them and What to Know","https://dolifetoday.com/clinical-trials","Learn how Parkinson's clinical trials work, how to find studies, what questions to ask, and how to decide whether participation is right for you.","Research & Clinical Trials","clinical trials, research, studies, participation"
"Caregiver Burnout in Parkinson's | How to Recognize It Before It Breaks You","https://dolifetoday.com/caregiver-burnout","Learn how to recognize caregiver burnout in Parkinson's before it becomes a crisis, what warning signs to watch for, and what practical support can help.","Caregiving","caregiver burnout, caregiving, stress, support"
"Parkinson's Symptoms Explained | Early Signs and Hidden Symptoms","https://dolifetoday.com/symptoms","Learn the early signs of Parkinson's, common motor symptoms, non-motor symptoms, and the hidden symptoms many doctors do not explain.","Symptoms","symptoms, motor symptoms, non-motor symptoms, overview"
"Parkinson's Medication and Treatment | How Parkinson's Medications Work","https://dolifetoday.com/medication-treatment","Learn how Parkinson's medications work, including levodopa, dopamine agonists, and why medication timing matters.","Medication","medication, treatment, levodopa, dopamine agonists"
"Exercise and Parkinson's | Why Movement Is Medicine","https://dolifetoday.com/exercise-movement","Learn why exercise is one of the most important tools for people living with Parkinson's. Discover the best types of movement and how to start safely.","Exercise","exercise, movement, mobility, parkinsons"
"Parkinson's Sleep Problems | Why Sleep Is Difficult with Parkinson's","https://dolifetoday.com/sleep-fatigue","Sleep problems are one of the most common symptoms of Parkinson's. Learn why sleep becomes difficult and what strategies may help improve rest.","Sleep","sleep, fatigue, insomnia, daytime sleepiness"
"Mental Health and Parkinson's | Anxiety, Depression and Emotional Health","https://dolifetoday.com/mental-health","Parkinson's affects more than movement. Learn how Parkinson's can impact anxiety, depression, stress, and emotional health, and what strategies may help.","Mental Health","mental health, anxiety, depression, brain fog"
"Care Partners and Parkinson's | Supporting Someone Living with Parkinson's","https://dolifetoday.com/care-partners","Caring for someone with Parkinson's can be both rewarding and challenging. Learn practical ways care partners can support their loved ones while also caring for themselves.","Caregiving","care partners, caregiving, support, burnout"
"Parkinson's Support Community | Finding Connection and Support","https://dolifetoday.com/community-support","Living with Parkinson's can feel isolating, but support and community can make a powerful difference. Learn how connecting with others can help you navigate the journey.","Community","community support, connection, support groups, isolation"
